FID,OBJECTID,STATE,FIPS,FENAME,CNTYFIPS,SHAPE_Leng,CAMPNAME,NAME,SHAPE_Length,SHAPE_Area
231,238,48,255,KARNES,48255,203251.9852,,,1.977469199,1946800677
232,121,48,113,DALLAS,48113,193632.4491,,,1.909111929,2344780993
233,239,48,469,VICTORIA,48469,282572.867,,,2.735171007,2296303584
234,240,48,163,FRIO,48163,217590.7921,,,2.111476053,2930450999
235,122,48,439,TARRANT,48439,192684.688,,,1.899521048,2316204218
236,241,48,175,GOLIAD,48175,223404.8812,,,2.158715729,2220844253
237,242,48,297,LIVE OAK,48297,242209.1077,,,2.307707101,2789508872
238,123,48,367,PARKER,48367,194067.1083,,,1.912702827,2348740231
239,243,48,57,CALHOUN,48057,256599.7061,,,2.455997436,2668475024
240,124,48,363,PALO PINTO,48363,205274.5983,,,2.013483935,2543298018
241,244,48,25,BEE,48025,229990.1317,,,2.214432768,2275930312
242,125,48,165,GAINES,48165,257455.3287,,,2.591947036,3878374853
243,245,48,311,MCMULLEN,48311,220821.4839,,,2.102070716,2954411340
244,126,48,115,DAWSON,48115,193049.3259,,,1.903621131,2328105274
245,246,48,283,LA SALLE,48283,248794.5474,,,2.383031617,3863620787
246,127,48,415,SCURRY,48415,193342.3762,,,1.906266507,2342075203
247,247,48,391,REFUGIO,48391,297013.5128,,,2.877070853,2116828989
248,248,48,7,ARANSAS,48007,200383.3153,,,1.920800521,1365752623
249,249,48,479,WEBB,48479,491939.4197,,,4.754934543,8738005483
250,250,48,409,SAN PATRICIO,48409,313246.1687,,,3.029434921,1829374153
251,251,48,249,JIM WELLS,48249,258091.8775,,,2.424518959,2247646759
252,252,48,131,DUVAL,48131,293093.4054,,,2.77002364,4649086576
253,253,48,355,NUECES,48355,347402.6902,,,3.356368872,3019518814
254,254,48,273,KLEBERG,48273,268183.1661,,,2.601535559,2824372523
